source,target,best_lag,lag_correlation,lag_strength,source_name,target_name,source_sector,target_sector
BAJFINANCE.NS,HCLTECH.NS,5,-0.03883440711913065,0.03883440711913065,Bajaj Finance,HCL Tech,NBFC,IT
BAJFINANCE.NS,HDFCBANK.NS,5,-0.036275339322159615,0.036275339322159615,Bajaj Finance,HDFC Bank,NBFC,Banking
BAJFINANCE.NS,HINDUNILVR.NS,4,-0.03967154484720173,0.03967154484720173,Bajaj Finance,Hindustan Unilever,NBFC,FMCG
BAJFINANCE.NS,ICICIBANK.NS,2,-0.03858927724893158,0.03858927724893158,Bajaj Finance,ICICI Bank,NBFC,Banking
BAJFINANCE.NS,INFY.NS,4,-0.02643479002419797,0.02643479002419797,Bajaj Finance,Infosys,NBFC,IT
BAJFINANCE.NS,INR=X,1,-0.09737410231885164,0.09737410231885164,Bajaj Finance,USD/INR,NBFC,Macro
BAJFINANCE.NS,ITC.NS,3,0.039348092339280986,0.039348092339280986,Bajaj Finance,ITC,NBFC,FMCG
BAJFINANCE.NS,M&M.NS,4,0.02766478221683506,0.02766478221683506,Bajaj Finance,Mahindra & Mahindra,NBFC,Auto
BAJFINANCE.NS,MARUTI.NS,3,0.045467969606654196,0.045467969606654196,Bajaj Finance,Maruti Suzuki,NBFC,Auto
BAJFINANCE.NS,ONGC.NS,2,0.06593951217876456,0.06593951217876456,Bajaj Finance,ONGC,NBFC,Energy
BAJFINANCE.NS,RELIANCE.NS,4,0.053877726255684356,0.053877726255684356,Bajaj Finance,Reliance,NBFC,Energy
BAJFINANCE.NS,SBIN.NS,4,0.06655059426564747,0.06655059426564747,Bajaj Finance,SBI,NBFC,Banking
BAJFINANCE.NS,SUNPHARMA.NS,2,-0.041348758533572456,0.041348758533572456,Bajaj Finance,Sun Pharma,NBFC,Pharma
BAJFINANCE.NS,TCS.NS,1,0.02852171999640002,0.02852171999640002,Bajaj Finance,TCS,NBFC,IT
BAJFINANCE.NS,TMPV.NS,3,-0.035771017180316896,0.035771017180316896,Bajaj Finance,Tata Motors Passenger Vehicles,NBFC,Auto
BAJFINANCE.NS,WIPRO.NS,1,0.029912397804232164,0.029912397804232164,Bajaj Finance,Wipro,NBFC,IT
BAJFINANCE.NS,^NSEBANK,4,0.040158219560380605,0.040158219560380605,Bajaj Finance,Bank Nifty,NBFC,Banking
BAJFINANCE.NS,^NSEI,4,0.02191553632535265,0.02191553632535265,Bajaj Finance,NIFTY 50,NBFC,Market
CL=F,AXISBANK.NS,3,-0.0471189898724302,0.0471189898724302,Crude Oil,Axis Bank,Energy,Banking
CL=F,BAJAJFINSV.NS,1,-0.022995950258297447,0.022995950258297447,Crude Oil,Bajaj Finserv,Energy,NBFC
CL=F,BAJFINANCE.NS,4,-0.04092839564007685,0.04092839564007685,Crude Oil,Bajaj Finance,Energy,NBFC
CL=F,DLF.NS,4,0.0338562765661398,0.0338562765661398,Crude Oil,DLF,Energy,Realty
CL=F,DRREDDY.NS,3,0.026433008210090297,0.026433008210090297,Crude Oil,Dr Reddy's,Energy,Pharma
CL=F,GC=F,5,-0.04750327995472151,0.04750327995472151,Crude Oil,Gold,Energy,Safe Haven
CL=F,GODREJPROP.NS,4,0.055485969444419886,0.055485969444419886,Crude Oil,Godrej Properties,Energy,Realty
CL=F,HCLTECH.NS,3,0.05232840919110154,0.05232840919110154,Crude Oil,HCL Tech,Energy,IT
