source,target,ml_importance,source_name,target_name
INFY.NS,AXISBANK.NS,0.028640628390378828,Infosys,Axis Bank
HDFCBANK.NS,M&M.NS,0.028622803863610144,HDFC Bank,Mahindra & Mahindra
HDFCBANK.NS,AXISBANK.NS,0.028581774172987972,HDFC Bank,Axis Bank
RELIANCE.NS,WIPRO.NS,0.02857197340330437,Reliance,Wipro
DRREDDY.NS,INR=X,0.02851528842447646,Dr Reddy's,USD/INR
DRREDDY.NS,HDFCBANK.NS,0.028466162775661222,Dr Reddy's,HDFC Bank
BAJAJFINSV.NS,AXISBANK.NS,0.0283501644195853,Bajaj Finserv,Axis Bank
GC=F,^NSEI,0.028336646481307723,Gold,NIFTY 50
TMPV.NS,AXISBANK.NS,0.028298853353082118,Tata Motors Passenger Vehicles,Axis Bank
SBIN.NS,INR=X,0.028282159083439246,SBI,USD/INR
RELIANCE.NS,GC=F,0.028276623638826975,Reliance,Gold
DLF.NS,ITC.NS,0.028210045653099404,DLF,ITC
HINDUNILVR.NS,TMPV.NS,0.028190429190362513,Hindustan Unilever,Tata Motors Passenger Vehicles
INFY.NS,DRREDDY.NS,0.028177188758302014,Infosys,Dr Reddy's
TMPV.NS,HCLTECH.NS,0.028074920634565206,Tata Motors Passenger Vehicles,HCL Tech
HDFCBANK.NS,RELIANCE.NS,0.028070147296007212,HDFC Bank,Reliance
^NSEBANK,ONGC.NS,0.02806449483402518,Bank Nifty,ONGC
CL=F,GODREJPROP.NS,0.028028358480550807,Crude Oil,Godrej Properties
SBIN.NS,ONGC.NS,0.02788634259153385,SBI,ONGC
SUNPHARMA.NS,RELIANCE.NS,0.02787932639686788,Sun Pharma,Reliance
GC=F,HCLTECH.NS,0.027737470437231366,Gold,HCL Tech
WIPRO.NS,BAJFINANCE.NS,0.027716443799581634,Wipro,Bajaj Finance
ONGC.NS,GC=F,0.027710813505087143,ONGC,Gold
HINDUNILVR.NS,ICICIBANK.NS,0.027695377376129496,Hindustan Unilever,ICICI Bank
HDFCBANK.NS,INFY.NS,0.027685332441240367,HDFC Bank,Infosys
^NSEBANK,GC=F,0.02768254550745943,Bank Nifty,Gold
^NSEBANK,BAJAJFINSV.NS,0.027602835059837984,Bank Nifty,Bajaj Finserv
SBIN.NS,ICICIBANK.NS,0.027595462563632794,SBI,ICICI Bank
SUNPHARMA.NS,ONGC.NS,0.027573570461586514,Sun Pharma,ONGC
DLF.NS,WIPRO.NS,0.027546777984573733,DLF,Wipro
AXISBANK.NS,HINDUNILVR.NS,0.02753961680582222,Axis Bank,Hindustan Unilever
HINDUNILVR.NS,RELIANCE.NS,0.0275023557577383,Hindustan Unilever,Reliance
AXISBANK.NS,ICICIBANK.NS,0.027463781237333427,Axis Bank,ICICI Bank
HDFCBANK.NS,BAJAJFINSV.NS,0.027405425982319303,HDFC Bank,Bajaj Finserv
WIPRO.NS,GC=F,0.02737810615626786,Wipro,Gold
DRREDDY.NS,BAJFINANCE.NS,0.027271957071723203,Dr Reddy's,Bajaj Finance
BAJAJFINSV.NS,^NSEBANK,0.027260537487891305,Bajaj Finserv,Bank Nifty
