hop,source,target,raw_edge_effect,transmission_effect,incoming_shock,propagated_shock
2,M&M.NS,^NSEI,0.5875194839192771,0.2028840214600564,-0.011018539778069339,-0.0012295171134357678
2,M&M.NS,TMPV.NS,0.4918195569616258,0.16983663058021686,-0.011018539778069339,-0.0010292434184017629
2,M&M.NS,^NSEBANK,0.4914602709114511,0.16971256082472946,-0.011018539778069339,-0.0010284915312569116
2,M&M.NS,MARUTI.NS,0.48288320615235325,0.16675070264252798,-0.011018539778069339,-0.0010105420875482385
2,M&M.NS,DLF.NS,0.4382926989894737,0.15135257260639895,-0.011018539778069339,-0.000917226387977204
2,M&M.NS,BAJAJFINSV.NS,0.40386389198720524,0.1394635118860704,-0.011018539778069339,-0.000845176339318252
2,TMPV.NS,^NSEI,0.572079068750883,0.16781498526783706,-0.013637394244893061,-0.0012587075128641283
2,TMPV.NS,DLF.NS,0.5070862210885546,0.14874983436696068,-0.013637394244893061,-0.0011157080743186322
2,TMPV.NS,M&M.NS,0.4918195569616258,0.14427147611983313,-0.013637394244893061,-0.0010821178489763615
2,TMPV.NS,^NSEBANK,0.46662919020636956,0.13688207619797446,-0.013637394244893061,-0.0010266931609941988
2,TMPV.NS,MARUTI.NS,0.42519799597769,0.12472855472008518,-0.013637394244893061,-0.0009355348608724354
2,TMPV.NS,GODREJPROP.NS,0.4244688147240686,0.12451465501981955,-0.013637394244893061,-0.0009339304918746727
2,TMPV.NS,SBIN.NS,0.4104899056329138,0.12041404978649978,-0.013637394244893061,-0.0009031736282594734
2,^NSEBANK,^NSEI,0.8710093754026812,0.11443903584673829,-0.02614491013198,-0.0016455990692918758
2,^NSEBANK,ICICIBANK.NS,0.8107654320760751,0.10652378374429676,-0.02614491013198,-0.001531780114102211
2,^NSEBANK,HDFCBANK.NS,0.7897290090838442,0.10375987782906815,-0.02614491013198,-0.0014920359746304161
2,^NSEBANK,AXISBANK.NS,0.7499013589094095,0.09852705483689732,-0.02614491013198,-0.0014167895468536404
2,^NSEBANK,DLF.NS,0.6121201119926072,0.08042443332650238,-0.02614491013198,-0.0011564792699552524
2,^NSEBANK,BAJFINANCE.NS,0.5806579870600905,0.07629072897768036,-0.02614491013198,-0.0010970378391635825
2,^NSEBANK,BAJAJFINSV.NS,0.5745560766334992,0.07548901918469512,-0.02614491013198,-0.0010855094923943424
2,^NSEBANK,GODREJPROP.NS,0.4991604001302331,0.06558303106366326,-0.02614491013198,-0.0009430643493382808
2,^NSEBANK,RELIANCE.NS,0.4919394606729866,0.06463429575411171,-0.02614491013198,-0.0009294218196642871
2,^NSEBANK,M&M.NS,0.4914602709114511,0.06457133659908264,-0.02614491013198,-0.0009285164858666657
2,^NSEBANK,TMPV.NS,0.46662919020636956,0.06130886318011589,-0.02614491013198,-0.0008816030949758933
2,^NSEBANK,MARUTI.NS,0.42767618872949487,0.0561909573822716,-0.02614491013198,-0.0008080091420441752
3,^NSEBANK,^NSEI,0.8710093754026812,0.11443903584673829,-0.017387249164601902,-0.0010943790167332263
3,^NSEBANK,ICICIBANK.NS,0.8107654320760751,0.10652378374429676,-0.017387249164601902,-0.0010186855634550416
3,^NSEBANK,HDFCBANK.NS,0.7897290090838442,0.10375987782906815,-0.017387249164601902,-0.0009922543670064633
3,^NSEBANK,AXISBANK.NS,0.7499013589094095,0.09852705483689732,-0.017387249164601902,-0.0009422129485469409
3,^NSEBANK,DLF.NS,0.6121201119926072,0.08042443332650238,-0.017387249164601902,-0.0007690978136433956
3,^NSEBANK,BAJFINANCE.NS,0.5806579870600905,0.07629072897768036,-0.017387249164601902,-0.0007295672525262235
3,^NSEBANK,BAJAJFINSV.NS,0.5745560766334992,0.07548901918469512,-0.017387249164601902,-0.000721900512165639
3,^NSEBANK,GODREJPROP.NS,0.4991604001302331,0.06558303106366326,-0.017387249164601902,-0.0006271696761405569
3,^NSEBANK,RELIANCE.NS,0.4919394606729866,0.06463429575411171,-0.017387249164601902,-0.0006180969326704212
3,^NSEBANK,M&M.NS,0.4914602709114511,0.06457133659908264,-0.017387249164601902,-0.0006174948550867953
3,^NSEBANK,TMPV.NS,0.46662919020636956,0.06130886318011589,-0.017387249164601902,-0.0005862958640611394
3,^NSEBANK,MARUTI.NS,0.42767618872949487,0.0561909573822716,-0.017387249164601902,-0.0005373533972416957
3,HDFCBANK.NS,^NSEBANK,0.7897290090838442,0.1993856365265358,-0.00909518652931748,-0.000997397255511547
3,HDFCBANK.NS,^NSEI,0.7102698125738366,0.17932429612773965,-0.00909518652931748,-0.0008970433573861962
3,HDFCBANK.NS,ICICIBANK.NS,0.5388214372727272,0.13603812701447768,-0.00909518652931748,-0.0006805106771626118
3,HDFCBANK.NS,AXISBANK.NS,0.46021215446993713,0.11619136729279606,-0.00909518652931748,-0.0005812301872434301
3,HDFCBANK.NS,BAJFINANCE.NS,0.43779330870808497,0.11053120313395035,-0.00909518652931748,-0.0005529160503972376
3,HDFCBANK.NS,DLF.NS,0.41176263820050274,0.10395914898794925,-0.00909518652931748,-0.0005200403183109778
